parcelle_id,annee,variete,altitude,pente,ph_sol,pluie,temperature,age_arbre,fertilisation,traitement_pesticide,presence_ravageur,acces_formation,taille,main_oeuvre,rendement_kg_ha,age_producteur,experience_producteur,taille_menage,nb_enfants_plus_12,niveau_education,sexe,encadrement
PCF_0001,2019,Arabica,1364.1432026778275,18.053629831317288,6.583073483617135,1892.4682276172807,20.6805066862866,7,139.67548002489843,2.541002344475884,1,1,0,24,680.942149886904,36,6,10,3,Aucun,Homme,1
PCF_0001,2020,Arabica,1364.1432026778275,18.053629831317288,6.583073483617135,1814.9962294843208,23.30349562787737,10,144.4217875200244,2.757822553849567,1,1,1,37,624.5468453593076,52,6,10,0,Secondaire,Homme,1
PCF_0001,2021,Arabica,1364.1432026778275,18.053629831317288,6.583073483617135,1780.93363586559,23.44934287626643,19,102.06910249223408,1.423009144610227,0,0,1,58,754.2283792748842,35,27,10,4,Primaire,Homme,0
PCF_0001,2022,Arabica,1364.1432026778275,18.053629831317288,6.583073483617135,1599.6844680238778,21.61323986895016,21,138.83324341221987,2.244882784867412,1,0,1,25,682.3331561832404,55,21,6,3,Primaire,Homme,0
PCF_0001,2023,Arabica,1364.1432026778275,18.053629831317288,6.583073483617135,1000.8451031915762,20.69991867771571,16,155.88885359605894,1.0261579723464285,0,0,1,55,548.7358213077985,29,7,10,1,Primaire,Homme,0
PCF_0002,2019,Robusta,792.146944777216,20.829245272431624,6.222063810111401,1575.9092529418008,22.804498032429255,13,141.68254916034408,1.3313949627230754,0,0,1,15,903.490493335318,57,13,10,0,Primaire,Homme,0
PCF_0002,2020,Arabica,792.146944777216,20.829245272431624,6.222063810111401,1275.301719347641,22.70340229054934,7,97.78330966580116,1.761177705014134,0,0,1,40,708.9692848860545,29,34,8,3,Primaire,Homme,1
PCF_0002,2021,Arabica,792.146944777216,20.829245272431624,6.222063810111401,1406.2701984286175,21.61468344356526,9,195.54193723414116,2.999625752752232,1,0,0,48,583.4308121464985,67,8,7,3,Primaire,Homme,0
PCF_0002,2022,Robusta,792.146944777216,20.829245272431624,6.222063810111401,1586.866689670726,25.530502663527614,17,154.02624708932763,2.725355865894504,0,1,1,52,823.3016236581461,57,18,5,0,Aucun,Homme,1
PCF_0002,2023,Robusta,792.146944777216,20.829245272431624,6.222063810111401,1915.9500752140152,20.55051429947303,10,104.3882922356094,2.630711529432632,0,1,1,22,850.4096097089757,51,13,3,1,Secondaire,Homme,1
PCF_0003,2019,Arabica,1075.3906774934844,22.672702424687117,6.451779537841231,1684.1935122299612,22.948908526259405,14,96.25383533619777,1.924259859276627,0,0,1,50,611.3346457468081,65,32,10,3,Primaire,Homme,1
PCF_0003,2020,Robusta,1075.3906774934844,22.672702424687117,6.451779537841231,1348.6867978318276,21.174086030337573,18,136.93630372178762,2.649409944173306,1,1,1,20,834.3404716004142,26,17,10,2,Primaire,Homme,0
PCF_0003,2021,Robusta,1075.3906774934844,22.672702424687117,6.451779537841231,1207.3467285844115,20.938545526012224,20,62.411445650421584,1.6443339879666237,0,0,1,56,793.8350396662337,32,21,7,2,Secondaire,Femme,0
PCF_0003,2022,Robusta,1075.3906774934844,22.672702424687117,6.451779537841231,1478.5520316538405,20.975606302050316,16,169.7875721417371,1.1127997730679322,1,0,1,49,870.0286699902945,55,9,11,4,Secondaire,Homme,1
PCF_0003,2023,Robusta,1075.3906774934844,22.672702424687117,6.451779537841231,1754.532039012165,23.895395115142325,19,194.72534867193852,1.0677291817506425,0,0,1,56,879.1621881597505,68,31,5,1,Aucun,Femme,0
PCF_0004,2019,Robusta,1121.3570475491356,10.888764854619154,6.144745943466738,1998.9913247394709,21.0864184696515,17,180.67168243998773,2.0130101873641437,0,0,1,40,845.3992232470634,25,28,6,2,Supérieur,Homme,1
PCF_0004,2020,Robusta,1121.3570475491356,10.888764854619154,6.144745943466738,1297.564714740058,21.263300700007605,17,51.83950040966473,2.0886520080665787,0,0,0,51,845.9024706221769,30,18,5,0,Secondaire,Homme,0
PCF_0004,2021,Arabica,1121.3570475491356,10.888764854619154,6.144745943466738,1614.9288886745214,22.884239933830752,20,86.36025836985006,1.0788150119742117,1,0,1,31,553.2548136922273,66,4,7,1,Primaire,Homme,0
