VILLE,LAT,LNG,POP,ANNEE,REGION
ABIDJAN,5.358611,-4.013889,951216,1975-01-01,Lagunes
BOUAKE,7.683333,-5.016667,175264,1975-01-01,Gbêkê
KORHOGO,9.416667,-5.616667,45250,1975-01-01,Poro
MAN,7.4,-7.55,50288,1975-01-01,Tonkpi
SANPEDRO,4.75,-6.633333,31606,1975-01-01,Bas-Sassandra
YAMOUSSOUKRO,6.816667,-5.283333,37253,1975-01-01,Bélier
ABIDJAN,5.358611,-4.013889,1934342,1988-01-01,Lagunes
BOUAKE,7.683333,-5.016667,332999,1988-01-01,Gbêkê
KORHOGO,9.416667,-5.616667,109655,1988-01-01,Poro
MAN,7.4,-7.55,88294,1988-01-01,Tonkpi
SANPEDRO,4.75,-6.633333,"70,601",1988-01-01,Bas-Sassandra
YAMOUSSOUKRO,6.816667,-5.283333,110013,1988-01-01,Bélier
ABIDJAN,5.358611,-4.013889,3692570,2005-01-01,Lagunes
BOUAKE,7.683333,-5.016667,572149,2005-01-01,Gbêkê
KORHOGO,9.416667,-5.616667,172114,2005-01-01,Poro
MAN,7.4,-7.55,140217,2005-01-01,Tonkpi
SANPEDRO,4.75,-6.633333,195873,2005-01-01,Bas-Sassandra
YAMOUSSOUKRO,6.816667,-5.283333,200659,2005-01-01,Bélier
ABIDJAN,5.358611,-4.013889,3677115,2014-01-01,Lagunes
BOUAKE,7.683333,-5.016667,567481,2014-01-01,Gbêkê
KORHOGO,9.416667,-5.616667,286071,2014-01-01,Poro
MAN,7.4,-7.55,"188,704",2014-01-01,Tonkpi
SANPEDRO,4.75,-6.633333,261616,2014-01-01,Bas-Sassandra
YAMOUSSOUKRO,6.816667,-5.283333,361893,2014-01-01,Bélier
